INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:243)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:210)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.springframework.orm.jpa.support.OpenEntityManagerInViewFilter.doFilterInternal(OpenEntityManagerInViewFilter.java:147)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:76)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:243)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:210)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:88)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:76)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:243)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:210)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:224)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:169)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:472)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:168)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:98)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.catalina.valves.AccessLogValve.invoke(AccessLogValve.java:928)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:118)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:407)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.coyote.ajp.AjpProcessor.process(AjpProcessor.java:200)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:539)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at org.apache.tomcat.util.net.JIoEndpoint$SocketProcessor.run(JIoEndpoint.java:298)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1110)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:603)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 	at java.lang.Thread.run(Thread.java:722)
INFO   | jvm 1    | 2012/10/28 07:59:58 | 
INFO   | jvm 1    | 2012/10/28 09:18:33 | WARN : org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/robots.txt] in DispatcherServlet with name 'dispatcher'
INFO   | jvm 1    | 2012/10/28 09:20:14 | WARN : org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/prog] in DispatcherServlet with name 'dispatcher'
INFO   | jvm 1    | 2012/10/28 09:32:10 | WARN : org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/robots.txt] in DispatcherServlet with name 'dispatcher'
INFO   | jvm 1    | 2012/10/28 09:48:00 | Oct 28, 2012 9:48:00 AM org.apache.catalina.core.StandardWrapperValve invoke
INFO   | jvm 1    | 2012/10/28 09:48:00 | SEVERE: Servlet.service() for servlet [dispatcher] in context with path [] threw exception [Request processing failed; nested exception is reformyourcountry.exception.InvalidUrlException: reformyourcountry.model.Article ayant l'url 'budget' est introuvable.] with root cause
INFO   | jvm 1    | 2012/10/28 09:48:00 | javax.persistence.NoResultException: No entity found for query
INFO   | jvm 1    | 2012/10/28 09:48:00 | 	at org.hibernate.ejb.QueryImpl.getSingleResult(QueryImpl.java:291)
INFO   | jvm 1    | 2012/10/28 09:48:00 | 	at reformyourcountry.controller.BaseController.getRequiredEntityByUrl(BaseController.java:51)
INFO   | jvm 1    | 2012/10/28 09:48:00 | 	at reformyourcountry.controller.ArticleDisplayController.displayArticle(ArticleDisplayController.java:39)
INFO   | jvm 1    | 2012/10/28 09:48:00 | 	at reformyourcountry.controller.ArticleDisplayController$$FastClassByCGLIB$$39833318.invoke(<generated>)
INFO   | jvm 1    | 2012/10/28 09:48:00 | 	at net.sf.cglib.proxy.MethodProxy.invoke(MethodProxy.java:149)
INFO   | jvm 1    | 2012/10/28 09:48:00 | 	at org.springframework.aop.framework.Cglib2AopProxy$CglibMethodInvocation.invokeJoinpoint(Cglib2AopProxy.java:689)
INFO   | jvm 1    | 2012/10/28 09:48:00 | 	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:150)
INFO   | jvm 1    | 2012/10/28 09:48:00 | 	at org.springframework.transaction.interceptor.TransactionInterceptor.invoke(TransactionInterceptor.java:110)
INFO   | jvm 1    | 2012/10/28 09:48:00 | 	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:172)
INFO   | jvm 1    | 2012/10/28 09:48:00 | 	at org.springframework.aop.framework.Cglib2AopProxy$DynamicAdvisedInterceptor.intercept(Cglib2AopProxy.java:622)
INFO   | jvm 1    | 2012/10/28 09:48:00 | 	at reformyourcountry.controller.ArticleDisplayController$$EnhancerByCGLIB$$6bc82334.displayArticle(<generated>)
INFO   | jvm 1    | 2012/10/28 09:48:00 | 	at sun.reflect.GeneratedMethodAccessor119.invoke(Unknown Source)
INFO   | jvm 1    | 2012/10/28 09:48:00 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2012/10/28 09:48:00 | 	at java.lang.reflect.Method.invoke(Method.java:601)
